date,datetime,SPOSTMIN,SACTMIN,DAYOFWEEK
11/23/2017,11/23/2017 15:59,70,,Thursday
11/23/2017,11/23/2017 16:05,70,,Thursday
11/23/2017,11/23/2017 16:10,70,,Thursday
11/23/2017,11/23/2017 16:17,70,,Thursday
11/23/2017,11/23/2017 16:18,70,,Thursday
11/23/2017,11/23/2017 16:30,70,,Thursday
11/23/2017,11/23/2017 16:34,80,,Thursday
11/23/2017,11/23/2017 16:38,80,,Thursday
11/23/2017,11/23/2017 16:47,90,,Thursday
11/23/2017,11/23/2017 16:56,105,,Thursday
11/23/2017,11/23/2017 17:01,105,,Thursday
11/23/2017,11/23/2017 17:09,105,,Thursday
11/23/2017,11/23/2017 17:12,105,,Thursday
11/23/2017,11/23/2017 17:19,105,,Thursday
11/23/2017,11/23/2017 17:24,105,,Thursday
11/23/2017,11/23/2017 17:32,105,,Thursday
11/23/2017,11/23/2017 16:19,,78,Thursday
11/23/2017,11/23/2017 17:38,105,,Thursday
11/23/2017,11/23/2017 17:45,105,,Thursday
11/23/2017,11/23/2017 17:56,105,,Thursday
11/23/2017,11/23/2017 17:59,105,,Thursday
11/23/2017,11/23/2017 18:07,105,,Thursday
11/23/2017,11/23/2017 18:12,105,,Thursday
11/23/2017,11/23/2017 18:17,105,,Thursday
11/23/2017,11/23/2017 18:26,90,,Thursday
11/23/2017,11/23/2017 18:36,80,,Thursday
11/23/2017,11/23/2017 18:38,80,,Thursday
11/23/2017,11/23/2017 18:45,80,,Thursday
11/23/2017,11/23/2017 18:52,80,,Thursday
11/23/2017,11/23/2017 18:59,60,,Thursday
11/23/2017,11/23/2017 19:05,60,,Thursday
11/23/2017,11/23/2017 19:14,60,,Thursday
11/23/2017,11/23/2017 19:19,60,,Thursday
11/23/2017,11/23/2017 19:30,60,,Thursday
11/23/2017,11/23/2017 19:36,75,,Thursday
11/23/2017,11/23/2017 19:42,75,,Thursday
11/23/2017,11/23/2017 19:45,75,,Thursday
11/23/2017,11/23/2017 19:52,75,,Thursday
11/23/2017,11/23/2017 20:03,85,,Thursday
11/23/2017,11/23/2017 20:05,85,,Thursday
11/23/2017,11/23/2017 20:10,85,,Thursday
11/23/2017,11/23/2017 20:19,75,,Thursday
11/23/2017,11/23/2017 20:24,75,,Thursday
11/23/2017,11/23/2017 20:32,75,,Thursday
11/23/2017,11/23/2017 20:38,75,,Thursday
11/23/2017,11/23/2017 20:47,75,,Thursday
11/23/2017,11/23/2017 20:52,75,,Thursday
11/23/2017,11/23/2017 20:59,60,,Thursday
11/23/2017,11/23/2017 21:05,50,,Thursday
11/23/2017,11/23/2017 21:10,50,,Thursday
11/23/2017,11/23/2017 21:17,50,,Thursday
11/23/2017,11/23/2017 21:24,40,,Thursday
11/23/2017,11/23/2017 21:31,40,,Thursday
11/23/2017,11/23/2017 21:36,30,,Thursday
11/23/2017,11/23/2017 21:40,30,,Thursday
11/23/2017,11/23/2017 21:49,20,,Thursday
11/23/2017,11/23/2017 21:52,20,,Thursday
11/23/2017,11/23/2017 22:01,10,,Thursday
11/23/2017,11/23/2017 22:05,-999,,Thursday
11/24/2017,11/24/2017 7:52,-999,,Friday
11/24/2017,11/24/2017 8:01,20,,Friday
11/24/2017,11/24/2017 8:03,20,,Friday
11/24/2017,11/24/2017 8:10,-999,,Friday
11/24/2017,11/24/2017 8:17,50,,Friday
11/24/2017,11/24/2017 8:24,75,,Friday
11/24/2017,11/24/2017 8:13,,18,Friday
11/24/2017,11/24/2017 8:40,75,,Friday
11/24/2017,11/24/2017 8:40,75,,Friday
11/24/2017,11/24/2017 8:45,75,,Friday
11/24/2017,11/24/2017 8:52,85,,Friday
11/24/2017,11/24/2017 9:01,95,,Friday
11/24/2017,11/24/2017 9:11,95,,Friday
11/24/2017,11/24/2017 9:12,95,,Friday
11/24/2017,11/24/2017 9:23,95,,Friday
11/24/2017,11/24/2017 9:26,95,,Friday
11/24/2017,11/24/2017 9:32,90,,Friday
11/24/2017,11/24/2017 9:40,90,,Friday
11/24/2017,11/24/2017 9:49,90,,Friday
11/24/2017,11/24/2017 9:58,85,,Friday
11/24/2017,11/24/2017 10:03,85,,Friday
11/24/2017,11/24/2017 10:03,85,,Friday
11/24/2017,11/24/2017 10:12,75,,Friday
11/24/2017,11/24/2017 10:18,85,,Friday
11/24/2017,11/24/2017 10:19,85,,Friday
11/24/2017,11/24/2017 10:24,85,,Friday
11/24/2017,11/24/2017 10:30,95,,Friday
11/24/2017,11/24/2017 10:38,95,,Friday
11/24/2017,11/24/2017 10:47,120,,Friday
11/24/2017,11/24/2017 10:52,120,,Friday
11/24/2017,11/24/2017 11:01,120,,Friday
11/24/2017,11/24/2017 11:09,120,,Friday
11/24/2017,11/24/2017 11:10,120,,Friday
11/24/2017,11/24/2017 11:17,120,,Friday
11/24/2017,11/24/2017 11:26,120,,Friday
11/24/2017,11/24/2017 11:30,120,,Friday
11/24/2017,11/24/2017 11:44,120,,Friday
11/24/2017,11/24/2017 11:45,120,,Friday
11/24/2017,11/24/2017 12:01,120,,Friday
11/24/2017,11/24/2017 12:03,120,,Friday
11/24/2017,11/24/2017 12:04,120,,Friday
11/24/2017,11/24/2017 12:10,120,,Friday
11/24/2017,11/24/2017 12:19,120,,Friday
11/24/2017,11/24/2017 12:30,120,,Friday
11/24/2017,11/24/2017 12:32,120,,Friday
11/24/2017,11/24/2017 12:44,120,,Friday
11/24/2017,11/24/2017 12:45,120,,Friday
11/24/2017,11/24/2017 12:56,120,,Friday
11/24/2017,11/24/2017 12:59,120,,Friday
11/24/2017,11/24/2017 13:03,120,,Friday
11/24/2017,11/24/2017 13:10,120,,Friday
11/24/2017,11/24/2017 13:23,120,,Friday
11/24/2017,11/24/2017 13:26,120,,Friday
11/24/2017,11/24/2017 13:32,120,,Friday
